faction id,name,synergy,effect
arborec,Psychospore,"[green,red]","ACTION: Exhaust this card to remove a command token from a system that contains 1 or more of your infantry and return it to your reinforcements. Then, place 1 infantry in that system."
argent,Wing Transfer,"[blue,yellow]","When you activate a system that contains only your units, you may place command tokens from your reinforcements into any systems adjacent to that system that contain only your units; at the end of this action, you may move ships among the active system and systems adjacent to it that contain your command tokens."
barony,Gravleash Maneuvers,"[blue,red]","Before you roll dice during space combat, apply +X to the results of 1 of your ship's rolls, where X is the number of ship types you have in the combat.
During movement, your non-fighter ships' move values are equal to the highest move value amongst moving ships in the system they started in."
bastion,The Icon,"[yellow,red]","When you produce ships, you may exhaust this card to place those ships in a system that contains 1 of your command tokens, at least 1 of your ground forces, and no other player's ships."
cabal,Al'Raith Ix Ianovar,"[green,red]","This breakthrough causes The Fracture to enter play without a roll, if it is not already in play. After this card enters play, move up to 2 ingress tokens into systems that contain gravity rifts.
Apply +1 to the MOVE value of each of your ships that start their movement in The Fracture."
crimson,Resonance Generator,"[blue,red]","During your tactical actions, apply +1 to the move value of each of your ships that starts its movement in your home system or in a system that contains an active breach.
ACTION: Exhaust this card to flip any breach or to place an active breach in a non-home system that contains your units."
deepwrought,Visionaria Select,"[green,yellow]","ACTION: Exhaust this card to allow each other player to spend 3 trade goods and give you 1 promissory note. Each player that does may research a non-faction, non-unit upgrade technology. You also gain each technology researched in this way."
empyrean,Void Tether,"[blue,green]","When you activate a system that contains or is adjacent to a unit or planet you control, you may place or move 1 of your Void Tether tokens onto a border that system shares with another system; other players do not treat those systems as adjacent to each other unless you allow it."
firmament,The Sowing,"[green,yellow]","When you gain this card and at the start of the status phase, you may place up to 3 of your trade goods on this card.
Flip this card if you become The Obsidian faction."
ghosts,Particle Synthesis,"[blue,yellow]","Each wormhole in a system that contains your ships gains PRODUCTION 1 as if it were a unit you control.
Reduce the combined cost of units you produce in systems that contain wormholes by 1 for each wormhole in that system."
hacan,Auto-Factories,"[yellow,red]","When you produce 3 or more non-fighter ships, place 1 command token from your reinforcements into your fleet pool."
jolnar,Specialist Compounds,"[green,yellow]","When you research technology using the 'Technology' strategy card, you may exhaust a planet that has a technology specialty instead of spending resources; if you do, you must research a technology of that color."
keleres,I.I.H.Q. Modernization,"[green,yellow]","When you gain this card, gain the Custodia Vigilia planet card and its legendary planet ability card.
You are neighbors with all players that have units or control planets in or adjacent to the Mecatol Rex system."
lizards,Data Skimmer,"[green,yellow]","During the action phase, if you have not passed, when other players would discard action cards, they are placed on this card instead.
When you pass, take 1 action card from this card and discard the rest."
lizix,Fealty Uplink,"[green,red]","When you gain control of a planet, place infantry from your reinforcements equal to that planet's influence value on that planet."
mahact,Vaults of the Heir,"[green,yellow]",ACTION: Exhaust this card and purge 1 of your technologies to gain 1 relic.
mentak,The Table's Grace,"[green,yellow]","If you have the Cruiser II unit upgrade technology, flip this card and place it on top of cruiser II.
Corsair [Cost 2, Combat 6, Move 3, Capacity 2] If the active system contains another player's non-fighter ships, this unit can move through systems that contain other players' ships."
muaat,Stellar Genesis,"[yellow,red]","When you gain this card, place the Avernus planet token into a non-home system that is adjacent to a planet you control; gain the Avernus planet card and ready it.
After you move one of your war suns out of or through Avernus's system and into a non-home system, you may move the Avernus token with it."
naalu,Mindsieve,"[green,red]","When you would resolve the secondary ability of another player's strategy card, you may give them a promissory note to resolve it without spending a command token."
nekro,Valefar Assimilator Z,[],"When you would gain another player's technology using one of your faction abilities, you may instead place one of your ""Z"" assimilator tokens on that player's faction sheet. Your flagship gains the text abilities of that faction's flagship in addition to its own."
nomad,Thunder's Paradox,"[green,yellow]","At the start of any player's turn, you may exhaust 1 of your agents to ready any other agent."
nra,Absolute Synergy,"[blue,green]","When you have 4 mechs in the same system, you may return 3 of those mechs to your reinforcements to flip this card and place it on top of your mech card.
Eidolon Maximum: [Combat 4 (x4), Move 3, Sustain Damage] This unit is both a ship and ground force. It cannot be assigned hits from unit abilities. Repair it at the start of every combat round. Game effects cannot place or produce your mechs. When this unit is destroyed or removed, flip this card and return it to your play area."
obsidian,The Reaping,"[green,yellow]","Place 1 trade good from the supply onto this card each time you win a combat against a puppeted player.
At the start of the status phase, gain all trade goods on this card, then gain an equal number of trade goods from the supply."
saar,Deorbit Barrage,"[blue,red]",ACTION: Exhaust this card and spend any amount of resources to choose a planet up to 2 systems away from an asteroid field that contains your ships; roll a number of dice equal to the amount spent and assign 1 hit to a ground force on that planet for each roll of 4 or greater.
sardakk,N'orr Supremacy,"[blue,red]","After you win a combat, either gain 1 command token or research a unit upgrade technology."
sol,Bellum Gloriosum,"[green,yellow]","When you produce a ship that has capacity, you may also produce any combination of ground forces or fighters up to that ship's capacity; they do not count against your PRODUCTION limit."
titans,Slumberstate Computing,"[green,yellow]","When COALESCENCE results in a ground combat, if you commit no other units, you may choose for your units to coexist instead. During the status phase, for each player you are coexisting with, you and that player each draw 1 additional action card. 
Other players may allow you to place a sleeper token on a planet they control."
winnu,Imperator,"[blue,red]","Apply +1 to the results of each of your unit's combat rolls for each ""Support for the Throne"" in your opponent's play area.
After you activate a system that contains a legendary planet, apply +1 to the move value of 1 of your ships during this tactical action."
xxcha,Archon's Gift,"[green,yellow]","You can spend influence as if it were resources.
You can spend resources as if it were influence."
yin,Yin Ascendant,"[green,yellow]","When you gain this card or score a public objective, gain the alliance ability of a random, unused faction."
yssaril,Deepgloom Executable,"[green,yellow]","You can allow other players to use your STALL TACTICS or SCHEMING faction abilities; when you do, you may resolve a transaction with that player. During the action phase, that transaction does not count against the once-per-player transaction limit for that turn."
