faction id,name,text,version,exclude after
arborec,Mitosis,Your space docks cannot produce infantry At the start of the status phase. Place 1 infantry from your reinforcements on any planet you control.,base game,
argent,Raid Formation,"When 1 or more of your units uses ANTI-FIGHTER BARRAGE. for each hit produced in excess of your opponent's fighters, choose 1 of your opponent's ships that has SUSTAIN DAMAGE to become damaged.",pok,
argent,Zeal,You always vote first during the agenda phase When you cast at least 1 vote. cast 1 additional vote for each player in the game including you.,pok,
barony,Armada,The maximum number of non-fighter ships you can have in each system is equal to 2 more than the number of tokens in your fleet pool,base game,
barony,Munitions Reserves,At the start of each round of space combat. You may spend 2 trade goods to re-roll any number of your dice during that combat round.,base game,
bastion,Galvanize,Galvanized units roll 1 additional die for combat rolls and unit abilities. When a game effect instructs a player to galvanize a unit. they place a galvanize token beneath it if it does not have one.,thunders edge,
bastion,Liberate,"When you gain control of a planet. ready that planet if it contains a number of your infantry equal to or greater than that planet's resource value; otherwise, place 1 infantry on that planet.",thunders edge,
bastion,Phoenix Standard,At the end of combat. you may galvanize 1 of your units that participated.,thunders edge,
cabal,Amalgamation,When you produce a unit. You may return 1 captured unit of that type to produce that unit without spending resources.,pok,
cabal,Devour,Capture your opponent's non-structure units that are destroyed during combat.,pok,
cabal,Riftmeld,When you research a unit upgrade technology. You may return 1 captured unit of that type to ignore all of the technology's prerequisites.,pok,
crimson,Incursion,"When you activate a system that contains a breach, you may flip that breach; systems that contain active breaches are adjacent. at the end of the status phase, any player with ships in a system that contain an active breach may remove that breach.",thunders edge,
crimson,Sorrow,"When you create the game board, place the Sorrow (tile 94) where your home system would normally be placed, then place a inactive breach there. The Sorrow is not a home system. Then, place your home system (tile 118) in your play area.",thunders edge,
crimson,Sundered,You cannot use wormholes other than epsilon wormholes. Other players' units that move or are placed into your home system are destroyed.,thunders edge,
deepwrought,Oceanbound,"Any time you have more ocean cards than there are planets that contain your coexisting units, discard ocean cards until you do not. When your units begin coexisting on a planet. gain an ocean card and ready it.",thunders edge,
deepwrought,Research Team,"When ground forces are committed. if your units on that planet are not already coexisting, you may choose for your units to coexist.",thunders edge,
empyrean,Aetherpassage,After a player activates a system. You may allow that player to move their ships through systems that contain your ships.,pok,
empyrean,Dark Whispers,"During setup, take the additional Empyrean faction promissory note; you have 2 faction promissory notes",pok,
empyrean,Voidborn,Nebulae do not affect your ships' movement,pok,
firmament,Plots Within Plots,"You can score secret objectives already scored by other players if you fulfill their requirements; this does not count against your secret objective limit or the number you can score in a round. When you score another player's secret objective. do not gain a victory point; instead, place a facedown plot card into your play area with that player's control token on it.",thunders edge,
firmament,Puppets of the Blade,"If you have at least 1 plot card in your play area, gain the following ability:. ACTION: Purge The Firmament's faction sheet, leaders, planet cards, and promissory note. Then, gain all of the faction components for The Obsidian.",thunders edge,
ghosts,Creuss Gate,"When you create the game board, place the Creuss Gate (tile 17) where your home system would normally be placed. The Creuss Gate system is not a home system. Then, place your home system (tile 51) in your play area.",base game,
ghosts,Quantum Entanglement,You treat all systems that contain either an alpha or beta wormhole as adjacent to each other. Game effects cannot prevent you from using this ability.,base game,
ghosts,Slipstream,During your tactical actions. Apply +1 to the move value of each of your ships that starts its movement in your home system or in a system that contains either an alpha or beta wormhole.,base game,
hacan,Arbiters,"When you are negotiating a transaction, action cards can be exchanged as part of that transaction.",base game,
hacan,Guild Ships,You can negotiate transactions with players who are not your neighbor.,base game,
hacan,Masters of Trade,"You do not have to spend a command token to resolve the secondary ability of the ""Trade"" strategy card.",base game,
jolnar,Analytical,When you research a technology that is not a unit upgrade technology. You may ignore 1 prerequisite.,base game,
jolnar,Brilliant,"When you spend a command token to resolve the secondary ability of the ""Technology"" strategy card. You may resolve the primary ability instead.",base game,
jolnar,Fragile,Apply -1 to the result of each of your unit's combat rolls.,base game,
keleres,Council Patronage,"At the start of the strategy phase. Replenish your commodities, then gain 1 trade good.",codex 3,
keleres,Law's Order,"You may spend 1 influence at the start of your turn to treat all laws as blank until the end of your turn.",codex 3,thunders edge
keleres,Law's Order Ω,"You may spend 1 trade good or 1 commodity at the start of any player's turn to treat all laws as blank until the end of that turn.",thunders edge,
keleres,The Tribuni,"During setup, choose an unplayed faction from among the Mentak, the Xxcha and The Argent Flight; take that faction's home system, command tokens and control markers. Additionally, take the Keleres Hero that corresponds to that faction",codex 3,thunders edge
keleres,The Tribuni Ω,"During setup, choose a Keleres hero that corresponds to an unused faction; take that faction's home system, command tokens and control tokens. The unchosen Keleres heroes are not used.",thunders edge,
lizards,Miniaturization,"Your structures can be transported by any ship; this does not require or count against capacity. While your structures are in the space area, they cannot use their unit abilities. At the end of your tactical actions. you may place your structures that are in space areas onto planets you control in their respective systems.",thunders edge,
lizards,Survival Instinct,After a player activates a system that contains your ships. you may move up to 2 of your ships into the active system from adjacent systems that do not contain your command tokens.,thunders edge,
lizix,Assimilate,When you gain control of a planet. Replace each PDS and space dock that is on that planet with a matching unit from your reinforcements.,base game,
lizix,Harrow,At the end of each round of ground combat. Your ships in the active system may use their BOMBARDMENT abilities against your opponent's ground forces on the planet.,base game,
mahact,Edict,Other player's tokens in your fleet pool increase your fleet limit but cannot be redistributed. When you win a combat. Place 1 command token from your opponent's reinforcements in your fleet pool if it does not already contain 1 of that player's tokens.,pok,
mahact,Hubris,"During setup, purge your ""Alliance"" promissory note. Other players cannot give you their 'Alliance"" promissory note.",pok,
mahact,Imperia,"While another player's command token is in your fleet pool, you can use the ability of that player's commander, if it is unlocked.",pok,
mentak,Ambush,"At the start of a space combat. You may roll 1 die for each of up to 2 of your cruisers or destroyers in the system. For each result equal to or greater than that ship's combat value, produce 1 hit; your opponent must assign it to 1 of their ships.",base game,
mentak,Pillage,"After 1 of your neighbors gains trade goods or resolves a transaction. If they have 3 or more trade goods, you may take 1 of their trade goods or commodities.",base game,
muaat,Gashlai Physiology,Your ships can move through supernovas,base game,
muaat,Star Forge,ACTION. Spend 1 token from your strategy pool to place either 2 fighters or 1 destroyer from your reinforcements in a system that contains 1 or more of your war suns.,base game,
naalu,Foresight,After another player moves ships into a system that contains 1 or more of your ships. You may place 1 token from your strategy pool in an adjacent system that does not contain another player's ships; move your ships from the active system into that system.,base game,
naalu,Telepathic,"At the end of the strategy phase. Place the Naalu ""0"" token on your strategy card; you are first in initiative order.",base game,
nekro,Galactic Threat,"You cannot vote on agendas Once per agenda phase, after an agenda is revealed. You may predict aloud the outcome of that agenda. If your prediction is correct, gain 1 technology that is owned by a player who voted how you predicted.",base game,
nekro,Propagation,You cannot research technology When you would research a technology. Gain 3 command tokens instead.,base game,
nekro,Technological Singularity,"Once per combat, after 1 of your opponent's units is destroyed. You may gain 1 technology that is owned by that player.",base game,
nomad,Future Sight,"During the Agenda phase, after an outcome that you voted for or predicted is resolved. Gain 1 trade good",pok,
nomad,The Company,"During setup, take the 2 additional Nomad faction agents and place them next to your faction sheet; you have 3 agents",pok,
nra,Distant Suns,When you explore a planet that contains 1 of your mechs. You may draw 1 additional card; choose 1 to resolve and discard the rest.,pok,
nra,Fabrication,ACTION. Either purge 2 of your relic fragments of the same type to gain 1 relic; or purge 1 of your relic fragments to gain 1 command token.,pok,
obsidian,Marionettes,The player or players whose control tokens are on each plot card are the puppeted players for that plot.,thunders edge,
obsidian,Nocturne,This faction cannot be chosen during setup.,thunders edge,
obsidian,The Blade's Orchestra,"When this faction comes into play. flip your home system, double-sided faction components, and all of your in-play plot cards. Then, ready Cronos Hollow and Tallin Hollow if you control them.",thunders edge,
saar,Nomadic,You can score objectives even if you do not control the planets in your home system.,base game,
saar,Scavenge,After you gain control of a planet. Gain 1 trade good.,base game,
sardakk,Unrelenting,Apply +1 to the result of each of your unit's combat rolls.,base game,
sol,Orbital Drop,ACTION. Spend 1 token from your strategy pool to place 2 infantry from your reinforcements on 1 planet you control.,base game,
sol,Versatile,When you gain command tokens during the status phase. Gain 1 additional command token.,base game,
titans,Awaken,After you activate a system that contains 1 or more of your sleeper tokens. You may replace each of those tokens with 1 PDS from your reinforcements.,pok,
titans,Coalescence,"If your flagship or your AWAKEN faction ability places your units into the same space area or onto the same planet as another player's units, your units must participate in combat during ""Space Combat"" or ""Ground Combat"" steps.",pok,
titans,Terragenesis,After you explore a planet that does not have a sleeper token. You may place or move 1 sleeper token onto that planet.,pok,
winnu,Blood Ties,You do not have to spend influence to remove the custodians token from Mecatol Rex.,base game,
winnu,Reclamation,After you resolve a tactical action during which you gained control of Mecatol Rex. You may place 1 PDS and 1 space dock from your reinforcements on Mecatol Rex.,base game,
xxcha,Peace Accords,"After you resolve the primary or secondary ability of the ""Diplomacy"" strategy card. You may gain control of 1 planet other than Mecatol Rex that does not contain any units and is in a system that is adjacent to a planet you control.",base game,
xxcha,Quash,When an agenda is revealed. You may spend 1 token from your strategy pool to discard that agenda and reveal 1 agenda from the top of the deck. Players vote on this agenda instead.,base game,
yin,Devotion,After each space combat round. You may destroy 1 of your cruisers or destroyers in the active system to produce 1 hit and assign it to 1 of your opponent's ships in that system.,base game,
yin,Indoctrination,At the start of a ground combat. You may spend 2 influence to replace 1 of your opponent's participating infantry with 1 infantry from your reinforcements.,base game,
yin,Yin Breakthrough,"When you gain this card or score a public objective, gain the alliance ability of a random, unused faction.",base game,
yssaril,Crafty,You can have any number of action cards in your hand. Game effects cannot prevent you from using this ability.,base game,
yssaril,Scheming,"When you draw 1 or more action cards. Draw 1 additional action card. Then, choose and discard 1 action card from your hand.",base game,
yssaril,Stall Tactics,ACTION. Discard 1 action card from your hand,base game,
