faction id,name,text
arborec,Mitosis,Your space docks cannot produce infantry At the start of the status phase. Place 1 infantry from your reinforcements on any planet you control.
argent,Raid Formation,"When 1 or more of your units uses ANTI-FIGHTER BARRAGE. for each hit produced in excess of your opponent's fighters, choose 1 of your opponent's ships that has SUSTAIN DAMAGE to become damaged."
argent,Zeal,You always vote first during the agenda phase When you cast at least 1 vote. cast 1 additional vote for each player in the game including you.
barony,Armada,The maximum number of non-fighter ships you can have in each system is equal to 2 more than the number of tokens in your fleet pool
barony,Munitions Reserves,At the start of each round of space combat. You may spend 2 trade goods to re-roll any number of your dice during that combat round.
bastion,Galvanize,Galvanized units roll 1 additional die for combat rolls and unit abilities. When a game effect instructs a player to galvanize a unit. they place a galvanize token beneath it if it does not have one.
bastion,Liberate,"When you gain control of a planet. ready that planet if it contains a number of your infantry equal to or greater than that planet's resource value; otherwise, place 1 infantry on that planet."
bastion,Phoenix Standard,At the end of combat. you may galvanize 1 of your units that participated.
cabal,Amalgamation,When you produce a unit. You may return 1 captured unit of that type to produce that unit without spending resources.
cabal,Devour,Capture your opponent's non-structure units that are destroyed during combat.
cabal,Riftmeld,When you research a unit upgrade technology. You may return 1 captured unit of that type to ignore all of the technology's prerequisites.
crimson,Incursion,"When you activate a system that contains a breach, you may flip that breach; systems that contain active breaches are adjacent. at the end of the status phase, any player with ships in a system that contain an active breach may remove that breach."
crimson,Sorrow,"When you create the game board, place the Sorrow (tile 94) where your home system would normally be placed, then place a inactive breach there. The Sorrow is not a home system. Then, place your home system (tile 118) in your play area."
crimson,Sundered,You cannot use wormholes other than epsilon wormholes. Other players' units that move or are placed into your home system are destroyed.
deepwrought,Oceanbound,"Any time you have more ocean cards than there are planets that contain your coexisting units, discard ocean cards until you do not. When your units begin coexisting on a planet. gain an ocean card and ready it."
deepwrought,Research Team,"When ground forces are committed. if your units on that planet are not already coexisting, you may choose for your units to coexist."
empyrean,Aetherpassage,After a player activates a system. You may allow that player to move their ships through systems that contain your ships.
empyrean,Dark Whispers,"During setup, take the additional Empyrean faction promissory note; you have 2 faction promissory notes"
empyrean,Voidborn,Nebulae do not affect your ships' movement
firmament,Plots Within Plots,"You can score secret objectives already scored by other players if you fulfill their requirements; this does not count against your secret objective limit or the number you can score in a round. When you score another player's secret objective. do not gain a victory point; instead, place a facedown plot card into your play area with that player's control token on it."
firmament,Puppets of the Blade,"If you have at least 1 plot card in your play area, gain the following ability:. ACTION: Purge The Firmament's faction sheet, leaders, planet cards, and promissory note. Then, gain all of the faction components for The Obsidian."
ghosts,Creuss Gate,"When you create the game board, place the Creuss Gate (tile 17) where your home system would normally be placed. The Creuss Gate system is not a home system. Then, place your home system (tile 51) in your play area."
ghosts,Quantum Entanglement,You treat all systems that contain either an alpha or beta wormhole as adjacent to each other. Game effects cannot prevent you from using this ability.
ghosts,Slipstream,During your tactical actions. Apply +1 to the move value of each of your ships that starts its movement in your home system or in a system that contains either an alpha or beta wormhole.
hacan,Arbiters,"When you are negotiating a transaction, action cards can be exchanged as part of that transaction."
hacan,Guild Ships,You can negotiate transactions with players who are not your neighbor.
hacan,Masters of Trade,"You do not have to spend a command token to resolve the secondary ability of the ""Trade"" strategy card."
jolnar,Analytical,When you research a technology that is not a unit upgrade technology. You may ignore 1 prerequisite.
jolnar,Brilliant,"When you spend a command token to resolve the secondary ability of the ""Technology"" strategy card. You may resolve the primary ability instead."
jolnar,Fragile,Apply -1 to the result of each of your unit's combat rolls.
